global_id,prompt_id,annotator_name,nli_tag,p_value,label,label_span_percentage,num_of_spans
2,186,anonymous_annotator_1,NLI GPJ - ENT,0.96,Off-prompt,0.0,0
2,186,anonymous_annotator_1,NLI GPJ - ENT,0.96,Self-Contradiction,0.0,0
2,186,anonymous_annotator_1,NLI GPJ - ENT,0.96,Incoherent,0.0,0
2,186,anonymous_annotator_1,NLI GPJ - ENT,0.96,Redundant,0.1,1
2,186,anonymous_annotator_2,NLI GPJ - ENT,0.96,Off-prompt,0.0,0
2,186,anonymous_annotator_2,NLI GPJ - ENT,0.96,Self-Contradiction,0.0,0
2,186,anonymous_annotator_2,NLI GPJ - ENT,0.96,Incoherent,0.0,0
2,186,anonymous_annotator_2,NLI GPJ - ENT,0.96,Redundant,0.11,1
3,279,anonymous_annotator_1,NLI GPJ - CON,0.96,Off-prompt,0.9,1
3,279,anonymous_annotator_1,NLI GPJ - CON,0.96,Self-Contradiction,0.25,1
3,279,anonymous_annotator_1,NLI GPJ - CON,0.96,Incoherent,0.1,1
3,279,anonymous_annotator_1,NLI GPJ - CON,0.96,Redundant,0.0,0
3,279,anonymous_annotator_2,NLI GPJ - CON,0.96,Off-prompt,0.9,1
3,279,anonymous_annotator_2,NLI GPJ - CON,0.96,Self-Contradiction,0.25,1
3,279,anonymous_annotator_2,NLI GPJ - CON,0.96,Incoherent,0.0,0
3,279,anonymous_annotator_2,NLI GPJ - CON,0.96,Redundant,0.0,0
4,24,anonymous_annotator_1,Vanilla GPTJ,0.4,Off-prompt,0.0,0
4,24,anonymous_annotator_1,Vanilla GPTJ,0.4,Self-Contradiction,0.0,0
4,24,anonymous_annotator_1,Vanilla GPTJ,0.4,Incoherent,0.03,1
4,24,anonymous_annotator_1,Vanilla GPTJ,0.4,Redundant,0.1,1
4,24,anonymous_annotator_2,Vanilla GPTJ,0.4,Off-prompt,0.0,0
4,24,anonymous_annotator_2,Vanilla GPTJ,0.4,Self-Contradiction,0.0,0
4,24,anonymous_annotator_2,Vanilla GPTJ,0.4,Incoherent,0.03,1
4,24,anonymous_annotator_2,Vanilla GPTJ,0.4,Redundant,0.1,1
6,391,anonymous_annotator_1,NLI GPJ - NEU,0.96,Off-prompt,0.0,0
6,391,anonymous_annotator_1,NLI GPJ - NEU,0.96,Self-Contradiction,0.0,0
6,391,anonymous_annotator_1,NLI GPJ - NEU,0.96,Incoherent,0.0,0
6,391,anonymous_annotator_1,NLI GPJ - NEU,0.96,Redundant,0.22,1
6,391,anonymous_annotator_2,NLI GPJ - NEU,0.96,Off-prompt,0.0,0
6,391,anonymous_annotator_2,NLI GPJ - NEU,0.96,Self-Contradiction,0.0,0
6,391,anonymous_annotator_2,NLI GPJ - NEU,0.96,Incoherent,0.0,0
6,391,anonymous_annotator_2,NLI GPJ - NEU,0.96,Redundant,0.0,0
7,150,anonymous_annotator_1,NLI GPJ - ENT,0.4,Off-prompt,0.0,0
7,150,anonymous_annotator_1,NLI GPJ - ENT,0.4,Self-Contradiction,0.0,0
7,150,anonymous_annotator_1,NLI GPJ - ENT,0.4,Incoherent,0.0,0
7,150,anonymous_annotator_1,NLI GPJ - ENT,0.4,Redundant,0.0,0
7,150,anonymous_annotator_2,NLI GPJ - ENT,0.4,Off-prompt,0.0,0
7,150,anonymous_annotator_2,NLI GPJ - ENT,0.4,Self-Contradiction,0.0,0
7,150,anonymous_annotator_2,NLI GPJ - ENT,0.4,Incoherent,0.16,1
7,150,anonymous_annotator_2,NLI GPJ - ENT,0.4,Redundant,0.0,0
8,105,anonymous_annotator_1,NLI GPJ - ENT,0.4,Off-prompt,0.0,0
8,105,anonymous_annotator_1,NLI GPJ - ENT,0.4,Self-Contradiction,0.0,0
8,105,anonymous_annotator_1,NLI GPJ - ENT,0.4,Incoherent,0.0,0
8,105,anonymous_annotator_1,NLI GPJ - ENT,0.4,Redundant,0.44,1
8,105,anonymous_annotator_2,NLI GPJ - ENT,0.4,Off-prompt,0.0,0
8,105,anonymous_annotator_2,NLI GPJ - ENT,0.4,Self-Contradiction,0.0,0
8,105,anonymous_annotator_2,NLI GPJ - ENT,0.4,Incoherent,0.0,0
8,105,anonymous_annotator_2,NLI GPJ - ENT,0.4,Redundant,0.22,2
9,278,anonymous_annotator_1,NLI GPJ - CON,0.96,Off-prompt,0.0,0
9,278,anonymous_annotator_1,NLI GPJ - CON,0.96,Self-Contradiction,0.0,0
9,278,anonymous_annotator_1,NLI GPJ - CON,0.96,Incoherent,0.0,0
9,278,anonymous_annotator_1,NLI GPJ - CON,0.96,Redundant,0.0,0
9,278,anonymous_annotator_2,NLI GPJ - CON,0.96,Off-prompt,0.6,1
9,278,anonymous_annotator_2,NLI GPJ - CON,0.96,Self-Contradiction,0.0,0
9,278,anonymous_annotator_2,NLI GPJ - CON,0.96,Incoherent,0.0,0
9,278,anonymous_annotator_2,NLI GPJ - CON,0.96,Redundant,0.02,1
10,94,anonymous_annotator_1,Vanilla GPTJ,0.96,Off-prompt,0.0,0
10,94,anonymous_annotator_1,Vanilla GPTJ,0.96,Self-Contradiction,0.14,1
10,94,anonymous_annotator_1,Vanilla GPTJ,0.96,Incoherent,0.15,2
10,94,anonymous_annotator_1,Vanilla GPTJ,0.96,Redundant,0.0,0
10,94,anonymous_annotator_2,Vanilla GPTJ,0.96,Off-prompt,0.31000000000000005,2
10,94,anonymous_annotator_2,Vanilla GPTJ,0.96,Self-Contradiction,0.03,1
10,94,anonymous_annotator_2,Vanilla GPTJ,0.96,Incoherent,0.0,0
10,94,anonymous_annotator_2,Vanilla GPTJ,0.96,Redundant,0.0,0
11,337,anonymous_annotator_1,NLI GPJ - NEU,0.96,Off-prompt,0.04,1
11,337,anonymous_annotator_1,NLI GPJ - NEU,0.96,Self-Contradiction,0.0,0
11,337,anonymous_annotator_1,NLI GPJ - NEU,0.96,Incoherent,0.0,0
11,337,anonymous_annotator_1,NLI GPJ - NEU,0.96,Redundant,0.0,0
11,337,anonymous_annotator_2,NLI GPJ - NEU,0.96,Off-prompt,0.11,1
11,337,anonymous_annotator_2,NLI GPJ - NEU,0.96,Self-Contradiction,0.0,0
11,337,anonymous_annotator_2,NLI GPJ - NEU,0.96,Incoherent,0.04,1
11,337,anonymous_annotator_2,NLI GPJ - NEU,0.96,Redundant,0.0,0
12,165,anonymous_annotator_1,NLI GPJ - ENT,0.4,Off-prompt,1.0,1
12,165,anonymous_annotator_1,NLI GPJ - ENT,0.4,Self-Contradiction,0.0,0
12,165,anonymous_annotator_1,NLI GPJ - ENT,0.4,Incoherent,0.0,0
12,165,anonymous_annotator_1,NLI GPJ - ENT,0.4,Redundant,0.11,2
12,165,anonymous_annotator_2,NLI GPJ - ENT,0.4,Off-prompt,1.0,1
12,165,anonymous_annotator_2,NLI GPJ - ENT,0.4,Self-Contradiction,0.0,0
12,165,anonymous_annotator_2,NLI GPJ - ENT,0.4,Incoherent,0.0,0
12,165,anonymous_annotator_2,NLI GPJ - ENT,0.4,Redundant,0.44,2
14,30,anonymous_annotator_1,Vanilla GPTJ,0.96,Off-prompt,0.21,1
14,30,anonymous_annotator_1,Vanilla GPTJ,0.96,Self-Contradiction,0.21,1
14,30,anonymous_annotator_1,Vanilla GPTJ,0.96,Incoherent,0.0,0
14,30,anonymous_annotator_1,Vanilla GPTJ,0.96,Redundant,0.0,0
14,30,anonymous_annotator_2,Vanilla GPTJ,0.96,Off-prompt,0.21,1
14,30,anonymous_annotator_2,Vanilla GPTJ,0.96,Self-Contradiction,0.21,1
14,30,anonymous_annotator_2,Vanilla GPTJ,0.96,Incoherent,0.0,0
14,30,anonymous_annotator_2,Vanilla GPTJ,0.96,Redundant,0.0,0
15,77,anonymous_annotator_1,Vanilla GPTJ,0.96,Off-prompt,0.3,1
15,77,anonymous_annotator_1,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
15,77,anonymous_annotator_1,Vanilla GPTJ,0.96,Incoherent,0.11,1
15,77,anonymous_annotator_1,Vanilla GPTJ,0.96,Redundant,0.0,0
15,77,anonymous_annotator_2,Vanilla GPTJ,0.96,Off-prompt,0.3,1
15,77,anonymous_annotator_2,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
15,77,anonymous_annotator_2,Vanilla GPTJ,0.96,Incoherent,0.11,1
15,77,anonymous_annotator_2,Vanilla GPTJ,0.96,Redundant,0.0,0
16,166,anonymous_annotator_1,NLI GPJ - ENT,0.4,Off-prompt,0.0,0
16,166,anonymous_annotator_1,NLI GPJ - ENT,0.4,Self-Contradiction,0.0,0
16,166,anonymous_annotator_1,NLI GPJ - ENT,0.4,Incoherent,0.0,0
16,166,anonymous_annotator_1,NLI GPJ - ENT,0.4,Redundant,0.16,1
16,166,anonymous_annotator_2,NLI GPJ - ENT,0.4,Off-prompt,0.0,0
16,166,anonymous_annotator_2,NLI GPJ - ENT,0.4,Self-Contradiction,0.29,2
16,166,anonymous_annotator_2,NLI GPJ - ENT,0.4,Incoherent,0.0,0
16,166,anonymous_annotator_2,NLI GPJ - ENT,0.4,Redundant,0.0,0
17,85,anonymous_annotator_1,Vanilla GPTJ,0.96,Off-prompt,0.0,0
17,85,anonymous_annotator_1,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
17,85,anonymous_annotator_1,Vanilla GPTJ,0.96,Incoherent,0.0,0
17,85,anonymous_annotator_1,Vanilla GPTJ,0.96,Redundant,0.0,0
17,85,anonymous_annotator_2,Vanilla GPTJ,0.96,Off-prompt,0.14,1
17,85,anonymous_annotator_2,Vanilla GPTJ,0.96,Self-Contradiction,0.0,0
17,85,anonymous_annotator_2,Vanilla GPTJ,0.96,Incoherent,0.0,0
17,85,anonymous_annotator_2,Vanilla GPTJ,0.96,Redundant,0.0,0
18,83,anonymous_annotator_1,Vanilla GPTJ,0.96,Off-prompt,0.45,1
18,83,anonymous_annotator_1,Vanilla GPTJ,0.96,Self-Contradiction,0.05,1
18,83,anonymous_annotator_1,Vanilla GPTJ,0.96,Incoherent,0.13,2
