master_index,index,p value,Prompt,Approach,Number of Generations,Generation,Final-Text,Number of Sentences,Generations per Sentence
0,0,0.4,"From Brittany in the north to the Spanish border in the south, there are miles of charming spots to discover on the Atlantic coast in France.",Vanilla GPTJ,1.00,"From the picturesque beaches of the Côte d’Azur to the charming villages of the Dordogne, discover the best of the Atlantic coast in France. Discover the best of the Atlantic coast in France  Discover the best of the Atlantic coast in France  The Atlantic coast in France is a true paradise for lovers of the sea and nature.","From Brittany in the north to the Spanish border in the south, there are miles of charming spots to discover on the Atlantic coast in France. -|GEN|- From the picturesque beaches of the Côte d’Azur to the charming villages of the Dordogne, discover the best of the Atlantic coast in France. Discover the best of the Atlantic coast in France  Discover the best of the Atlantic coast in France  The Atlantic coast in France is a true paradise for lovers of the sea and nature.",2.00,-
1,1,0.4,"After the week we’ve seen, there’s no telling what might come next in Iran, no telling exactly what Iran’s leaders or ours have in mind.",Vanilla GPTJ,1.00,"But one thing is certain: Iran’s nuclear program is a major issue, and it’s one that’s been around for decades. It’s also one that’s been a major issue for decades. Iran’s nuclear program has been a major issue for decades.","After the week we’ve seen, there’s no telling what might come next in Iran, no telling exactly what Iran’s leaders or ours have in mind. -|GEN|- But one thing is certain: Iran’s nuclear program is a major issue, and it’s one that’s been around for decades. It’s also one that’s been a major issue for decades. Iran’s nuclear program has been a major issue for decades.",3.00,-
2,2,0.4,"Making mole from scratch is traditionally a large-batch, multiday project — something most of us don’t have time to regularly tackle.",Vanilla GPTJ,1.00,"But the same process can be accomplished in a matter of hours using a simple, one-pot recipe. This recipe for a simple, one-pot mole is the perfect solution for those who want to make mole but don’t have the time or patience to make it from scratch. It’s a simple, one-pot recipe that takes less than an hour to make.","Making mole from scratch is traditionally a large-batch, multiday project — something most of us don’t have time to regularly tackle. -|GEN|- But the same process can be accomplished in a matter of hours using a simple, one-pot recipe. This recipe for a simple, one-pot mole is the perfect solution for those who want to make mole but don’t have the time or patience to make it from scratch. It’s a simple, one-pot recipe that takes less than an hour to make.",3.00,-
4,4,0.4,Cheetos fans who've finished snacking have been licking orange cheese dust residue off their fingers for decades.,Vanilla GPTJ,1.00,"But the company is about to make the cheese-flavored snack even more irresistible. Cheetos are about to get a makeover. The company, which is owned by PepsiCo, is launching a new version of its iconic snack in the U.S. next month. The new Cheetos will have a slightly crunchier texture and a new orange cheese flavor.","Cheetos fans who've finished snacking have been licking orange cheese dust residue off their fingers for decades. -|GEN|- But the company is about to make the cheese-flavored snack even more irresistible. Cheetos are about to get a makeover. The company, which is owned by PepsiCo, is launching a new version of its iconic snack in the U.S. next month. The new Cheetos will have a slightly crunchier texture and a new orange cheese flavor.",4.00,-
5,5,0.4,"ELYRIA, Ohio – Two Elyria officers suffered minor injuries after a driver rammed their cruisers early Sunday, police said.",Vanilla GPTJ,1.00,"The crash happened about 2:30 a.m. on the 900 block of West Avenue. Police said the driver of a silver SUV rammed into the back of a police cruiser, then drove off. The driver of the SUV, a woman, was arrested and charged with driving under the influence, police said. Police said the officers were not injured. The crash is under investigation.","ELYRIA, Ohio – Two Elyria officers suffered minor injuries after a driver rammed their cruisers early Sunday, police said. -|GEN|- The crash happened about 2:30 a.m. on the 900 block of West Avenue. Police said the driver of a silver SUV rammed into the back of a police cruiser, then drove off. The driver of the SUV, a woman, was arrested and charged with driving under the influence, police said. Police said the officers were not injured. The crash is under investigation.",5.00,-
6,6,0.4,"Monitoring Desk RIYADH: Saudi Arabia’s decision to allow US, UK or Schengen visa holders to obtain a visa on arrival in the Kingdom will help to boost the tourism sector and the country’s economy, according to business insiders.",Vanilla GPTJ,1.00,"The decision, which will be implemented in the next few months, will allow the holders of these visas to obtain a visa on arrival, which will be valid for 30 days. The move will also help to boost the tourism sector and the country’s economy, according to a number of business insiders.","Monitoring Desk RIYADH: Saudi Arabia’s decision to allow US, UK or Schengen visa holders to obtain a visa on arrival in the Kingdom will help to boost the tourism sector and the country’s economy, according to business insiders. -|GEN|- The decision, which will be implemented in the next few months, will allow the holders of these visas to obtain a visa on arrival, which will be valid for 30 days. The move will also help to boost the tourism sector and the country’s economy, according to a number of business insiders.",2.00,-
7,7,0.4,"ROCKY RIVER, Ohio -- A Rocky River Municipal Court judge convicted a 27-year-old motorist who almost struck a student and crossing guard in October last year.",Vanilla GPTJ,1.00,"Judge Robert A. Rucker Jr. sentenced Joseph D. Cottrell to 180 days in jail, a $1,000 fine and two years of probation. Cottrell was convicted of aggravated vehicular assault, a misdemeanor, and failure to yield the right of way, a minor misdemeanor.","ROCKY RIVER, Ohio -- A Rocky River Municipal Court judge convicted a 27-year-old motorist who almost struck a student and crossing guard in October last year. -|GEN|- Judge Robert A. Rucker Jr. sentenced Joseph D. Cottrell to 180 days in jail, a $1,000 fine and two years of probation. Cottrell was convicted of aggravated vehicular assault, a misdemeanor, and failure to yield the right of way, a minor misdemeanor.",2.00,-
8,8,0.4,"Monitoring Desk Traveling and living abroad sounds exciting, but not if it puts you in piles of debt.",Vanilla GPTJ,1.00,"The best way to prepare for your move is to budget and save money. The best way to prepare for your move is to budget and save money. Before you pack your bags, make sure you have a plan for your finances. You can do this by making a budget and saving money. If you don’t have a budget, it’s time to make one. You can start by using a budget calculator. You can also use a spreadsheet or a budgeting app.","Monitoring Desk Traveling and living abroad sounds exciting, but not if it puts you in piles of debt. -|GEN|- The best way to prepare for your move is to budget and save money. The best way to prepare for your move is to budget and save money. Before you pack your bags, make sure you have a plan for your finances. You can do this by making a budget and saving money. If you don’t have a budget, it’s time to make one. You can start by using a budget calculator. You can also use a spreadsheet or a budgeting app.",7.00,-
9,9,0.4,"Syracuse, NY -- A criminal case against Onondaga County legislator Julie Abbott-Kenan has been sent to a confidential domestic violence court and likely will result in no public criminal record.",Vanilla GPTJ,1.00,"The judge in the case, which involves allegations of domestic violence, said the case would be sent to the Family Court of Onondaga County, which handles domestic violence cases. The case was sent to the Family Court on Friday, and the judge said the case would be handled as a confidential domestic violence case.","Syracuse, NY -- A criminal case against Onondaga County legislator Julie Abbott-Kenan has been sent to a confidential domestic violence court and likely will result in no public criminal record. -|GEN|- The judge in the case, which involves allegations of domestic violence, said the case would be sent to the Family Court of Onondaga County, which handles domestic violence cases. The case was sent to the Family Court on Friday, and the judge said the case would be handled as a confidential domestic violence case.",2.00,-
10,10,0.4,"With its annual list of 52 international destinations, The New York Times once again encourages readers to travel to Peru in 2020.",Vanilla GPTJ,1.00,"The country has been a favorite of the newspaper’s travel section for years, and the latest list includes a number of new destinations. The list includes the country’s capital, Lima, as well as destinations in the Amazon, the Andes, the coast, and the Amazonian jungle.","With its annual list of 52 international destinations, The New York Times once again encourages readers to travel to Peru in 2020. -|GEN|- The country has been a favorite of the newspaper’s travel section for years, and the latest list includes a number of new destinations. The list includes the country’s capital, Lima, as well as destinations in the Amazon, the Andes, the coast, and the Amazonian jungle.",2.00,-
