global_id,prompt_id,annotator_name,nli_tag,p_value,rating
2,186,anonymous_annotator_1,NLI GPJ - ENT,0.96,4
2,186,anonymous_annotator_2,NLI GPJ - ENT,0.96,4
3,279,anonymous_annotator_1,NLI GPJ - CON,0.96,2
3,279,anonymous_annotator_2,NLI GPJ - CON,0.96,2
4,24,anonymous_annotator_1,Vanilla GPTJ,0.4,3
4,24,anonymous_annotator_2,Vanilla GPTJ,0.4,3
6,391,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
6,391,anonymous_annotator_2,NLI GPJ - NEU,0.96,5
7,150,anonymous_annotator_1,NLI GPJ - ENT,0.4,5
7,150,anonymous_annotator_2,NLI GPJ - ENT,0.4,3
8,105,anonymous_annotator_1,NLI GPJ - ENT,0.4,2
8,105,anonymous_annotator_2,NLI GPJ - ENT,0.4,2
9,278,anonymous_annotator_1,NLI GPJ - CON,0.96,5
9,278,anonymous_annotator_2,NLI GPJ - CON,0.96,3
10,94,anonymous_annotator_1,Vanilla GPTJ,0.96,2
10,94,anonymous_annotator_2,Vanilla GPTJ,0.96,3
11,337,anonymous_annotator_1,NLI GPJ - NEU,0.96,2
11,337,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
12,165,anonymous_annotator_1,NLI GPJ - ENT,0.4,2
12,165,anonymous_annotator_2,NLI GPJ - ENT,0.4,2
14,30,anonymous_annotator_1,Vanilla GPTJ,0.96,3
14,30,anonymous_annotator_2,Vanilla GPTJ,0.96,2
15,77,anonymous_annotator_1,Vanilla GPTJ,0.96,2
15,77,anonymous_annotator_2,Vanilla GPTJ,0.96,2
16,166,anonymous_annotator_1,NLI GPJ - ENT,0.4,3
16,166,anonymous_annotator_2,NLI GPJ - ENT,0.4,3
17,85,anonymous_annotator_1,Vanilla GPTJ,0.96,4
17,85,anonymous_annotator_2,Vanilla GPTJ,0.96,3
18,83,anonymous_annotator_1,Vanilla GPTJ,0.96,1
18,83,anonymous_annotator_2,Vanilla GPTJ,0.96,2
19,26,anonymous_annotator_1,Vanilla GPTJ,0.96,4
19,26,anonymous_annotator_2,Vanilla GPTJ,0.96,4
20,53,anonymous_annotator_1,Vanilla GPTJ,0.4,2
20,53,anonymous_annotator_2,Vanilla GPTJ,0.4,2
21,34,anonymous_annotator_1,Vanilla GPTJ,0.96,4
21,34,anonymous_annotator_2,Vanilla GPTJ,0.96,3
22,285,anonymous_annotator_1,NLI GPJ - CON,0.96,5
22,285,anonymous_annotator_2,NLI GPJ - CON,0.96,5
23,192,anonymous_annotator_1,NLI GPJ - ENT,0.96,3
23,192,anonymous_annotator_2,NLI GPJ - ENT,0.96,3
24,257,anonymous_annotator_1,NLI GPJ - CON,0.4,1
24,257,anonymous_annotator_2,NLI GPJ - CON,0.4,1
25,33,anonymous_annotator_1,Vanilla GPTJ,0.96,2
25,33,anonymous_annotator_2,Vanilla GPTJ,0.96,2
26,66,anonymous_annotator_1,Vanilla GPTJ,0.4,2
26,66,anonymous_annotator_2,Vanilla GPTJ,0.4,2
27,218,anonymous_annotator_1,NLI GPJ - CON,0.4,2
27,218,anonymous_annotator_2,NLI GPJ - CON,0.4,2
28,290,anonymous_annotator_1,NLI GPJ - CON,0.96,3
28,290,anonymous_annotator_2,NLI GPJ - CON,0.96,3
29,265,anonymous_annotator_1,NLI GPJ - CON,0.4,3
29,265,anonymous_annotator_2,NLI GPJ - CON,0.4,3
30,97,anonymous_annotator_1,Vanilla GPTJ,0.96,4
30,97,anonymous_annotator_2,Vanilla GPTJ,0.96,4
31,380,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
31,380,anonymous_annotator_2,NLI GPJ - NEU,0.96,4
32,46,anonymous_annotator_1,Vanilla GPTJ,0.96,2
32,46,anonymous_annotator_2,Vanilla GPTJ,0.96,1
33,204,anonymous_annotator_1,NLI GPJ - CON,0.4,3
33,204,anonymous_annotator_2,NLI GPJ - CON,0.4,3
34,398,anonymous_annotator_1,NLI GPJ - NEU,0.96,3
34,398,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
35,317,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
35,317,anonymous_annotator_2,NLI GPJ - NEU,0.4,3
36,206,anonymous_annotator_1,NLI GPJ - CON,0.4,3
36,206,anonymous_annotator_2,NLI GPJ - CON,0.4,3
37,365,anonymous_annotator_1,NLI GPJ - NEU,0.4,4
37,365,anonymous_annotator_2,NLI GPJ - NEU,0.4,4
38,31,anonymous_annotator_1,Vanilla GPTJ,0.96,3
38,31,anonymous_annotator_2,Vanilla GPTJ,0.96,3
39,311,anonymous_annotator_1,NLI GPJ - NEU,0.4,5
39,311,anonymous_annotator_2,NLI GPJ - NEU,0.4,5
40,187,anonymous_annotator_1,NLI GPJ - ENT,0.96,5
40,187,anonymous_annotator_2,NLI GPJ - ENT,0.96,5
41,327,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
41,327,anonymous_annotator_2,NLI GPJ - NEU,0.96,3
59,178,anonymous_annotator_1,NLI GPJ - ENT,0.96,3
59,178,anonymous_annotator_2,NLI GPJ - ENT,0.96,3
61,383,anonymous_annotator_1,NLI GPJ - NEU,0.96,4
61,383,anonymous_annotator_2,NLI GPJ - NEU,0.96,4
62,302,anonymous_annotator_1,NLI GPJ - NEU,0.4,5
62,302,anonymous_annotator_2,NLI GPJ - NEU,0.4,5
64,360,anonymous_annotator_1,NLI GPJ - NEU,0.4,5
64,360,anonymous_annotator_2,NLI GPJ - NEU,0.4,5
65,230,anonymous_annotator_1,NLI GPJ - CON,0.96,4
